,test,case,Line
718,test_min,numeric_only True-skipna True-over rows str-empty_data,Line 56120
719,test_min,numeric_only True-skipna True-over rows str-columns_only,Line 56278
720,test_min,numeric_only True-skipna True-over columns int-empty_data,Line 56431
721,test_min,numeric_only True-skipna True-over columns int-columns_only,Line 56601
722,test_min,numeric_only True-skipna True-over columns str-empty_data,Line 56754
723,test_min,numeric_only True-skipna True-over columns str-columns_only,Line 56838
724,test_min,numeric_only True-skipna False-over rows int-empty_data,Line 57084
725,test_min,numeric_only True-skipna False-over rows int-columns_only,Line 57242
726,test_min,numeric_only True-skipna False-over rows str-empty_data,Line 57402
727,test_min,numeric_only True-skipna False-over rows str-columns_only,Line 57560
728,test_min,numeric_only True-skipna False-over columns int-empty_data,Line 57713
729,test_min,numeric_only True-skipna False-over columns int-columns_only,Line 57883
730,test_min,numeric_only True-skipna False-over columns str-empty_data,Line 58036
731,test_min,numeric_only True-skipna False-over columns str-columns_only,Line 58206
732,test_min,numeric_only True-skipna None-over rows int-empty_data,Line 58440
733,test_min,numeric_only True-skipna None-over rows int-columns_only,Line 58524
734,test_min,numeric_only True-skipna None-over rows str-empty_data,Line 58684
735,test_min,numeric_only True-skipna None-over rows str-columns_only,Line 58842
736,test_min,numeric_only True-skipna None-over columns int-empty_data,Line 59076
737,test_min,numeric_only True-skipna None-over columns int-columns_only,Line 59252
738,test_min,numeric_only True-skipna None-over columns str-empty_data,Line 59320
739,test_min,numeric_only True-skipna None-over columns str-columns_only,Line 59478
740,test_min,numeric_only False-skipna True-over rows int-empty_data,Line 59712
741,test_min,numeric_only False-skipna True-over rows int-columns_only,Line 59789
742,test_min,numeric_only False-skipna True-over rows str-empty_data,Line 59959
743,test_min,numeric_only False-skipna True-over rows str-columns_only,Line 60110
744,test_min,numeric_only False-skipna True-over columns int-empty_data,Line 60280
745,test_min,numeric_only False-skipna True-over columns int-columns_only,Line 60438
746,test_min,numeric_only False-skipna True-over columns str-empty_data,Line 60598
747,test_min,numeric_only False-skipna True-over columns str-columns_only,Line 60756
748,test_min,numeric_only False-skipna False-over rows int-empty_data,Line 60916
749,test_min,numeric_only False-skipna False-over rows int-columns_only,Line 61067
750,test_min,numeric_only False-skipna False-over rows str-empty_data,Line 61237
751,test_min,numeric_only False-skipna False-over rows str-columns_only,Line 61388
752,test_min,numeric_only False-skipna False-over columns int-empty_data,Line 61558
753,test_min,numeric_only False-skipna False-over columns int-columns_only,Line 61716
754,test_min,numeric_only False-skipna False-over columns str-empty_data,Line 61876
755,test_min,numeric_only False-skipna False-over columns str-columns_only,Line 62034
756,test_min,numeric_only False-skipna None-over rows int-empty_data,Line 62194
757,test_min,numeric_only False-skipna None-over rows int-columns_only,Line 62345
758,test_min,numeric_only False-skipna None-over rows str-empty_data,Line 62515
759,test_min,numeric_only False-skipna None-over rows str-columns_only,Line 62592
760,test_min,numeric_only False-skipna None-over columns int-empty_data,Line 62829
761,test_min,numeric_only False-skipna None-over columns int-columns_only,Line 62999
762,test_min,numeric_only False-skipna None-over columns str-empty_data,Line 63067
763,test_min,numeric_only False-skipna None-over columns str-columns_only,Line 63322
764,test_min,numeric_only None-skipna True-over rows int-empty_data,Line 63482
765,test_min,numeric_only None-skipna True-over rows int-columns_only,Line 63559
766,test_min,numeric_only None-skipna True-over rows str-empty_data,Line 63711
767,test_min,numeric_only None-skipna True-over rows str-columns_only,Line 63954
768,test_min,numeric_only None-skipna True-over columns int-empty_data,Line 64032
769,test_min,numeric_only None-skipna True-over columns int-columns_only,Line 64201
770,test_min,numeric_only None-skipna True-over columns str-empty_data,Line 64355
771,test_min,numeric_only None-skipna True-over columns str-columns_only,Line 64524
